"","Tool","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL","mean.multiLLH","med.multiLLH"
"21","deconstruct_0.06",2.57691040383972,2.60671823409087,0.335454504486719,0.858553619220286,0.888888888888889,0.145907733333176,0.187385892456577,0.15018039466272,0.147813584960175,0.817373015873016,0.8,0.202822057713802,0.94692328042328,1,0.117774219901766,0.889769275022876,0.280846063343001,0.1929634385016,-425.679977665044,-114.844193462668
"22","msa_thresholdx10_unpruned",2.54673196994129,2.56776447935483,0.285294934026128,0.842724698141365,0.857142857142857,0.127548864138473,0.192575349282698,0.158452591691219,0.147607729486645,0.973878306878307,1,0.0829499496716126,0.765429012345679,0.75,0.18311804858592,0.887420107735111,0.157886321326368,0.0884366230430138,-417.779173997402,-112.46388713285
"23","msa_thresholdx100_unpruned",2.53970965947518,2.55409499710967,0.29175735083825,0.836065221815222,0.833333333333333,0.134421994131311,0.191706125357271,0.157637066660664,0.14796245617723,0.954920634920635,1,0.122073365761857,0.776495149911817,0.8,0.190877482876983,0.887227235979859,0.167334670813507,0.0874615444230393,-197.333874824104,-111.262642202905
"24","msa_default_unpruned",2.53158979289407,2.54905634775885,0.281675663959447,0.83341510649844,0.833333333333333,0.128449130757771,0.193282341144731,0.161655243337526,0.147358253654614,0.974137566137566,1,0.083191100746562,0.750734567901235,0.75,0.182023247894559,0.887308381968459,0.159135345094575,0.0902562612366803,-439.433129287162,-112.801206410691
"25","msa_thresholdx1000_unpruned",2.51890250958663,2.53188470067872,0.282881361425931,0.82608813717147,0.833333333333333,0.131635761947777,0.196656132388677,0.163052297041785,0.148824342772433,0.960359788359788,1,0.111439812292305,0.75519885361552,0.75,0.188606818129432,0.884178179734989,0.189593856441155,0.0927902432034566,-147.763365729217,-111.899783964517
"26","mutsig",2.51209565823012,2.52982023111378,0.273508726154977,0.819564327647661,0.833333333333333,0.131174420722615,0.193582031364234,0.161655242737884,0.147250437923253,0.976193121693122,1,0.0791441342062501,0.729484567901235,0.714285714285714,0.184655723487275,0.88730954162689,0.159454586330287,0.0904273453713337,-449.312339448752,-113.024075447372
"27","yapsa_0.00",2.51209565776981,2.52982020266885,0.273508734716977,0.819564327647661,0.833333333333333,0.131174420722615,0.193582031824551,0.161655242880009,0.147250430426194,0.976193121693122,1,0.0791441342062501,0.729484567901235,0.714285714285714,0.184655723487275,0.887309546161963,0.159454568556387,0.0904273467594211,-449.312339448752,-113.024075447372
"28","deconstruct_0.10",2.4880249847202,2.49272377693794,0.354945309504717,0.805253888087221,0.8,0.168432204352604,0.207440623745405,0.175773024045792,0.15233486761112,0.723021164021164,0.75,0.230492271681552,0.972444444444444,1,0.0897920529870639,0.877869965247752,0.452907830392299,0.417189888935674,-299.762721959451,-120.500081115667
"29","yapsa_0.10",2.48166480645565,2.48568307791159,0.361355752313321,0.805716690716691,0.8,0.171761723636723,0.21603889724805,0.183693710268491,0.155205842966012,0.721574074074074,0.75,0.232854035095493,0.97612962962963,1,0.0837768427027451,0.87057528841163,0.454356113981317,0.408638238019339,-184.300832032025,-120.014429684049
"30","sigpro",2.4605684485814,2.47965429050181,0.42351957432599,0.810354497354497,0.857142857142857,0.177812281622484,0.248153773640821,0.2,0.205255920442363,0.720611111111111,0.75,0.236017430204225,0.988111111111111,1,0.0693028119409612,0.85448991218288,0.522852709572577,0.422222907800593,-147.106379623958,-121.258054557947
"31","sigspack",2.44320205066599,2.45372017617589,0.26822402381428,0.766265731182398,0.769230769230769,0.144893086950007,0.188696538399265,0.154269279493008,0.145517388781763,0.976730158730159,1,0.08121911357177,0.655168430335097,0.666666666666667,0.191978741107817,0.894086714939085,0.203864272062377,0.107456393961572,-561.806836602031,-113.70684548054
"32","sigest",2.44036210357604,2.45154615629091,0.267804706191957,0.764608801692135,0.769230769230769,0.145215904064594,0.188696538399265,0.154269279493008,0.145517388781763,0.976796296296296,1,0.0800300925117483,0.652262345679012,0.666666666666667,0.190596107347657,0.894086714939085,0.20680654703636,0.107265682875936,-561.806836602031,-113.70684548054
"33","sigfit",2.38727195521074,2.38768934975712,0.175357968637713,0.674769585352919,0.666666666666667,0.138468672945176,0.138184393995608,0.121773249748681,0.090255841633987,1,1,0,0.525456349206349,0.5,0.15768081623276,0.930088075785177,0.110421676145815,0.08879336396338,-159.472987348072,-110.023565658206
