"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec","m.scaled_L2","m.KL","med.KL"
"111","deconstruct_0.03","Liver-HCC",2.63444262980303,2.66113825588562,0.263593240661968,0.904665112665113,0.888888888888889,0.0917866931223309,0.194843084482688,0.160426754749405,0.138372513447367,0.914642857142857,1,0.127039749271833,0.914642857142857,1,0.12135917199313,0.894251546748162,0.19962109002321,0.152640440378373
"112","sigest","ColoRect-AdenoCA",2.63411060888497,2.64494124413594,0.275714585439672,0.848238095238095,0.857142857142857,0.14693499283174,0.126722724448361,0.094867439855377,0.110914964396597,0.991666666666667,1,0.0598117135471061,0.769166666666667,0.75,0.218354922211229,0.919057622587447,0.0916153376819609,0.0459370913776456
"113","fitms_0.050","Skin-Melanoma",2.63289589853332,2.67738627437394,0.332684448547755,0.870078643578644,0.888888888888889,0.164651837951999,0.15610410146668,0.133280315971268,0.133859707153836,0.816333333333333,0.8,0.211509194054236,0.972666666666667,1,0.0865383665716478,0.906998074316642,NA,NA
"114","fitms_0.060","Skin-Melanoma",2.63289589850752,2.67738627437394,0.332684448550717,0.870078643578644,0.888888888888889,0.164651837951999,0.156104101492481,0.133280315971268,0.133859707140099,0.816333333333333,0.8,0.211509194054236,0.972666666666667,1,0.0865383665716478,0.906998074297573,NA,NA
"115","fitms_0.030","Skin-Melanoma",2.63289589849612,2.67738627437391,0.332684448556131,0.870078643578644,0.888888888888889,0.164651837951999,0.156104101503885,0.133280315971268,0.133859707135681,0.816333333333333,0.8,0.211509194054236,0.972666666666667,1,0.0865383665716478,0.90699807428854,NA,NA
"116","sigpro","Stomach-AdenoCA",2.62400408566905,2.65132871268294,0.338090617450646,0.869039682539683,0.857142857142857,0.155084742599406,0.173829247664281,0.151901194666403,0.151939372542605,0.797833333333333,0.75,0.219243354994662,1,1,0,0.891919049705425,0.351430131344797,0.104491334625187
"117","fitms_0.200","Skin-Melanoma",2.62032158924184,2.67752157841773,0.342673269684812,0.86674531024531,0.888888888888889,0.165367613404348,0.162178410758161,0.13775433893128,0.144022371306269,0.809333333333333,0.8,0.209179359615947,0.973166666666667,1,0.0899836311339672,0.903730250291888,NA,NA
"118","fitms_0.100","Skin-Melanoma",2.62032158924182,2.67752157841762,0.342673269684807,0.86674531024531,0.888888888888889,0.165367613404348,0.162178410758176,0.137754338931282,0.144022371306262,0.809333333333333,0.8,0.209179359615947,0.973166666666667,1,0.0899836311339672,0.90373025029188,NA,NA
"119","mp","Eso-AdenoCA",2.6137168612333,2.61697685557919,0.297412772727426,0.846896103896104,0.857142857142857,0.162764613789162,0.149783138766697,0.126076766982325,0.106112636526182,0.771,0.75,0.224753512573533,0.9925,1,0.0428616519994413,0.902159851480635,0.359960614298956,0.229450462761054
"120","yapsa_0.10","Eso-AdenoCA",2.61223629844004,2.63218263044763,0.305270180297846,0.838868686868687,0.857142857142857,0.16470375626736,0.142430368226626,0.109619873734639,0.106234953756156,0.757166666666667,0.75,0.232517271844369,0.9975,1,0.025,0.910254332776113,0.343385719182709,0.191300211100002
