Sample,SBS1,SBS2,SBS3,SBS4,SBS5,SBS9,SBS13,SBS17a,SBS17b,SBS18,SBS28,SBS40
Lung-AdenoCA::S.53,1297.0331956916884,1480.2217702789674,0.0,9877.844648185115,2611.1975468669634,0.0,0.0,0.0,0.0,3279.363638228813,0.0,3388.790716488056
Lung-AdenoCA::S.54,918.2181393441201,737.4282153649664,0.0,23001.066562941047,2315.444072574533,0.0,0.0,0.0,670.2255631978919,0.0,0.0,0.0
Lung-AdenoCA::S.55,0.0,0.0,0.0,53617.5112178111,0.0,0.0,1068.440694488064,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.56,0.0,3058.766124492879,0.0,123392.4807323373,0.0,0.0,19104.94438161203,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.57,0.0,0.0,0.0,0.0,0.0,0.0,3425.084389615778,0.0,1822.5468255116043,0.0,0.0,27098.9297049267
Lung-AdenoCA::S.58,609.5465279015777,96.58700218711202,0.0,0.0,6768.9487884845785,0.0,0.0,0.0,0.0,500.7630749062546,160.1176960575689,2035.9442924840027
Lung-AdenoCA::S.59,0.0,9302.582242172359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.60,0.0,0.0,0.0,122232.3318780933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.61,397.5984239114711,802.8581799202606,0.0,12010.14314248675,24249.46048379652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.62,855.5643220707814,0.0,0.0,21117.638235484515,4739.184206896787,0.0,1296.0063042402305,0.0,0.0,1274.1332003752586,0.0,0.0
Lung-AdenoCA::S.63,0.0,0.0,0.0,0.0,17455.959204555715,872.612024972415,1524.1720327306223,0.0,0.0,4312.56230490512,0.0,0.0
Lung-AdenoCA::S.64,0.0,1603.3693251766742,9315.173950966038,29368.680184283192,17938.808417601365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.65,374.73134377609847,4396.564834579036,0.0,7955.465827373567,0.0,0.0,1649.4965253952985,0.0,0.0,0.0,0.0,6513.044684647807
Lung-AdenoCA::S.66,325.0510476710907,1935.7489925341858,0.0,13336.566075501773,8925.78467876883,0.0,2478.2044124814847,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.67,0.0,9851.502393176648,0.0,0.0,13915.717959006133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung-AdenoCA::S.68,1385.801740276725,0.0,17181.25007320241,87442.01686468236,0.0,0.0,3556.500819523772,0.0,0.0,0.0,0.0,0.0
