"Mutation type","ID1","ID2","ID4","ID5","ID6","ID8","ID9"
"INS_repeats_4_4",0.000319653,0.000249385,0.000146911,6.41e-06,5.6e-05,0.000205515,5.41e-18
"INS_repeats_4_5+",0.00100132,0.002193545,0.000135205,0.000635977,0.000106861,0.000885225,2.18e-06
"INS_repeats_5+_0",3.31e-18,3.95e-18,8.58e-05,0.004750071,0.008716781,0.000318329,0.000165846
"INS_repeats_5+_1",0.001443126,0.000135658,0.002135852,0.004793431,0.005405643,0.009761114,0.001253996
"INS_repeats_5+_2",0.000254832,5.53e-06,0.000222027,0.000298796,0.001321843,0.000101153,0.000102849
"INS_repeats_5+_3",0.000237087,9.77e-05,7.59e-06,0.000165546,2.88e-05,7.09e-05,8.02e-05
"INS_repeats_5+_4",0.000261865,2.15e-06,2.53e-05,0.000126707,4.83e-05,6.74e-06,5.05e-05
"INS_repeats_5+_5+",0.000119834,0.000115629,0.000160229,0.000626342,6.17e-05,0.000190551,9.89e-06
"DEL_MH_2_1",0.001197815,0.000175553,0.188997489,0.028687946,0.000632866,0.004913672,0.003900972
"DEL_MH_3_1",8.19e-05,5.46e-07,0.007034156,0.013157147,0.000990097,0.009290337,0.003011328
"DEL_MH_3_2",0.001479593,0.002944063,0.049416601,0.00900421,0.00443363,0.004302693,0.001543302
"DEL_MH_4_1",8.38e-05,0.000147005,0.010981719,0.008732202,0.002745395,0.005809551,0.001927721
"DEL_MH_4_2",0.000145479,0.000550614,0.029483877,0.006047187,0.00868271,0.001591587,0.003297448
"DEL_MH_4_3",0.000160684,0.000693566,0.04886664,0.003442442,0.004773094,0.001098342,0.002544079
"DEL_MH_5+_1",8.16e-07,0.000624963,0.000453121,0.008617073,0.071066579,0.28072426,3.54e-05
"DEL_MH_5+_2",2.38e-10,0.000117708,0.000136232,0.007851021,0.253108348,0.123610163,0.000221236
"DEL_MH_5+_3",2.33e-12,5.67e-05,0.001112236,0.007157975,0.216806033,0.046130408,0.000570907
"DEL_MH_5+_4",3.88e-05,0.000462842,0.003652946,0.002492549,0.120483943,0.016367256,0.000448308
"DEL_MH_5+_5+",0.000665116,0.002367319,4.56e-05,0.001112367,0.099282999,0.012814882,5.41e-18
