"","Tool","cancer.type","m.Combined","med.Combined","sd.Combined","m.F1","med.F1","sd.F1","m.SMD","med.SMD","sd.SMD","m.sens","med.sens","sd.sens","m.prec","med.prec","sd.prec"
"100","msa_thresholdx100","Kidney-RCC",2.54297225009642,2.58398083398083,0.368617776688881,0.877396825396825,1,0.15980573856928,0.258194416570243,0.209589434395636,0.18408515851707,0.93,1,0.163144603392701,0.871166666666667,1,0.184209034997297
"101","msa_default","Liver-HCC",2.54084380229961,2.75456244807533,0.420315245161057,0.879047619047619,1,0.162280637731753,0.275822864367057,0.216193923841818,0.222621046571749,0.995,1,0.05,0.821666666666667,1,0.227222777900583
"102","mp","Breast-AdenoCA",2.54071119881302,2.57597745590899,0.272227204338615,0.904380952380952,0.888888888888889,0.112669813252248,0.301288801186981,0.282721902580193,0.137400923683919,0.8465,0.8,0.172625708517885,0.9955,1,0.0318574793400073
"103","yapsa_0.10","Kidney-RCC",2.54043061563536,2.56361436689795,0.337933930717711,0.872952380952381,0.857142857142857,0.146387170205015,0.25623605103131,0.222130767530258,0.169587661940731,0.825,1,0.204295894648292,0.971666666666667,1,0.108698555565576
"104","mp","Ovary-AdenoCA",2.53801673098933,2.65783369726009,0.404761399385576,0.892436507936508,1,0.14573021929398,0.291316602344003,0.22556627540055,0.226182380047465,0.883333333333333,1,0.189851971398169,0.946,1,0.150067698901688
"105","msa_thresholdx100","Ovary-AdenoCA",2.53718116535675,2.69506957047791,0.398210120752965,0.888690476190476,1,0.152891925898359,0.292485501309913,0.221111111111111,0.221938512159019,0.960166666666667,1,0.11288719377555,0.8695,1,0.216466561311685
"106","msa_thresholdx10","Kidney-RCC",2.53645737802402,2.56455026455026,0.367318803130327,0.874071428571429,0.944444444444444,0.16015220207689,0.259542621975981,0.212081128747795,0.183503408976163,0.925833333333333,1,0.166200948646777,0.870166666666667,1,0.185551245942816
"107","msa_thresholdx1000","Ovary-AdenoCA",2.53077872633236,2.69506957047791,0.409264735985461,0.885595238095238,1,0.155818181602141,0.294721273667637,0.221111111111111,0.22869793393596,0.960166666666667,1,0.11288719377555,0.865333333333333,1,0.219857111030057
"108","msa_thresholdx10","Ovary-AdenoCA",2.53031970653137,2.69506957047791,0.408275861592533,0.885309523809524,1,0.157196312590435,0.293680293468628,0.218108108108108,0.227816952468806,0.960166666666667,1,0.11288719377555,0.863833333333333,1,0.220702569124053
"109","msa_thresholdx10","Liver-HCC",2.5300334020659,2.75217391304348,0.42383435152013,0.873380952380952,1,0.164708617695658,0.278299931267436,0.216193923841818,0.223957073135284,0.995,1,0.05,0.813333333333333,1,0.229709717759657
"110","msa_thresholdx100","Lung-AdenoCA",2.52878377976885,2.74143927233815,0.500964058199607,0.877,1,0.181569105486974,0.274549553564487,0.183721405228759,0.258944042339689,0.841666666666667,1,0.237333437369931,0.961666666666667,1,0.149550392394403
