Sample.ID,Tool,MD,SMD,sens,prec,F1,Combined,spec,scaled_L2,KL,cancer.type
Lung-AdenoCA::S.82,msa_thresholdx1000,148,0.88622754491018,0.5,1,0.666666666666667,1.61377245508982,1,0.628713999923674,3.08292510842371,Lung-AdenoCA
Lung-AdenoCA::S.83,msa_thresholdx1000,476,0.133670317326594,0.5,1,0.666666666666667,2.36632968267341,1,0.107510422914843,0.107607752143145,Lung-AdenoCA
Lung-AdenoCA::S.84,msa_thresholdx1000,121,0.770700636942675,0.5,1,0.666666666666667,1.72929936305732,1,0.64595534414154,5.33392604911364,Lung-AdenoCA
Lung-AdenoCA::S.85,msa_thresholdx1000,761,0.729626078619367,0.5,1,0.666666666666667,1.77037392138063,1,0.683370967354958,5.89101299619675,Lung-AdenoCA
Lung-AdenoCA::S.86,msa_thresholdx1000,305,0.186887254901961,0.333333333333333,1,0.5,2.14644607843137,1,0.153899076897354,0.103416715164229,Lung-AdenoCA
Lung-AdenoCA::S.87,msa_thresholdx1000,171,0.0857572718154463,1,1,1,2.91424272818455,1,0.0857572718154463,0,Lung-AdenoCA
Lung-AdenoCA::S.88,msa_thresholdx1000,293,0.218493661446682,0.666666666666667,1,0.8,2.44817300521999,1,0.150989678751435,0.0789483965941097,Lung-AdenoCA
Lung-AdenoCA::S.89,msa_thresholdx1000,36,0.104347826086957,1,1,1,2.89565217391304,1,0.104347826086957,0,Lung-AdenoCA
Lung-AdenoCA::S.90,msa_thresholdx1000,104,1,0,1,0,1,1,1,,Lung-AdenoCA
Lung-AdenoCA::S.91,msa_thresholdx1000,153,0.241706161137441,0.5,1,0.666666666666667,2.25829383886256,1,0.172832424970934,0.545891312512487,Lung-AdenoCA
Lung-AdenoCA::S.92,msa_thresholdx1000,355,0.382543103448276,0.5,1,0.666666666666667,2.11745689655172,1,0.319440248418621,0.338681454872598,Lung-AdenoCA
Lung-AdenoCA::S.93,msa_thresholdx1000,233,0.714723926380368,0.5,1,0.666666666666667,1.78527607361963,1,0.619274938179458,0.556913482192197,Lung-AdenoCA
Lung-AdenoCA::S.94,msa_thresholdx1000,650,0.374423963133641,0.333333333333333,1,0.5,1.95890937019969,1,0.272731405344197,2.28940730478609,Lung-AdenoCA
Lung-AdenoCA::S.95,msa_thresholdx1000,208,0.118316268486917,0.5,1,0.666666666666667,2.38168373151308,1,0.102679401315552,0.536099828829136,Lung-AdenoCA
Lung-AdenoCA::S.96,msa_thresholdx1000,367,0.566358024691358,0.5,1,0.666666666666667,1.93364197530864,1,0.455560678648968,0.735439358501102,Lung-AdenoCA
Lung-AdenoCA::S.97,msa_thresholdx1000,1793,0.359751203852327,0.5,1,0.666666666666667,2.14024879614767,1,0.264050203760906,0.736780639052202,Lung-AdenoCA
Lung-AdenoCA::S.98,msa_thresholdx1000,280,0.0610687022900763,1,1,1,2.93893129770992,1,0.0610687022900763,0,Lung-AdenoCA
Lung-AdenoCA::S.99,msa_thresholdx1000,131,0.11451048951049,1,1,1,2.88548951048951,1,0.11451048951049,0,Lung-AdenoCA
Lung-AdenoCA::S.100,msa_thresholdx1000,193,0.0480458053273587,0.5,1,0.666666666666667,2.45195419467264,1,0.0418674258479078,0.0088113521302926,Lung-AdenoCA
Ovary-AdenoCA::S.1,msa_thresholdx1000,28,0.405797101449275,1,0.4,0.571428571428571,1.99420289855072,0,0.202898550724638,0.410450308916666,Ovary-AdenoCA
Ovary-AdenoCA::S.2,msa_thresholdx1000,41,0.232954545454545,1,1,1,2.76704545454545,1,0.158175123944035,0.0360098096354781,Ovary-AdenoCA
Ovary-AdenoCA::S.3,msa_thresholdx1000,106,0.329192546583851,1,1,1,2.67080745341615,1,0.17715479126648,0.321143373953822,Ovary-AdenoCA
