Sample,SBS1,SBS2,SBS3,SBS5,SBS8,SBS13,SBS18,SBS35,SBS39,SBS40,SBS41
Ovary-AdenoCA::S.58,561.2146428076095,251.08702609263298,3843.4842794618544,754.4515807394963,264.8762698667755,1144.2132487959684,284.7759634611389,0.0,0.0,7076.290721506522,386.5340255069797
Ovary-AdenoCA::S.59,314.0625031711283,369.80616325576915,3916.859020112425,599.0538390469269,0.0,0.0,0.0,0.0,456.2728501776937,0.0,783.6221372996372
Ovary-AdenoCA::S.60,702.6658913289793,322.8206210221929,3153.4518033883514,359.04915138824543,0.0,476.82156562516343,0.0,111.97381814710477,0.0,0.0,0.0
Ovary-AdenoCA::S.61,405.8412182119093,501.89591467776677,7387.8996535144615,2831.663244823744,0.0,0.0,946.6218125833609,0.0,469.9394192119205,0.0,0.0
Ovary-AdenoCA::S.62,661.3024625543065,0.0,1388.9369399341601,2891.5901432311953,185.56779567527846,0.0,0.0,0.0,0.0,0.0,53.11993044260523
Ovary-AdenoCA::S.63,801.7438340690636,167.58704038884215,14389.948137393907,3616.5478724174027,0.0,0.0,0.0,506.5396217176939,0.0,0.0,456.8509892359764
Ovary-AdenoCA::S.64,194.4519461376769,384.21242041179994,5193.632031066427,1808.123657855322,275.1017482485491,0.0,0.0,0.0,542.2534233506833,0.0,0.0
Ovary-AdenoCA::S.65,1043.8979932683314,253.32663441168265,3199.518720811394,1497.513375804202,146.8840361500963,82.46514660310326,0.0,0.0,0.0,367.4692264474509,0.0
Ovary-AdenoCA::S.66,246.74527806352796,156.34359997769852,2380.8616792457974,1024.595577260791,2091.7763291036845,241.94657061450766,205.33131482220927,212.59562639556344,800.1301938208072,404.17618130573976,143.8137651602003
Ovary-AdenoCA::S.67,471.80350596047276,58.01725317429433,5716.512886686175,1772.9123157409738,2377.255655442809,46.70043623158426,0.0,376.44283907211076,409.17363318515174,0.0,121.86265384333998
Ovary-AdenoCA::S.68,282.2194333210019,0.0,2084.6907817702127,1627.17097183689,0.0,0.0,193.9964732366472,0.0,0.0,3840.2341178731676,0.0
Ovary-AdenoCA::S.69,261.08626229843355,0.0,1598.6824401336962,179.47883718429566,0.0,250.10131289290305,0.0,194.63253738780872,244.072890145574,111.88288567302179,115.18701846339695
Ovary-AdenoCA::S.70,476.9689021605268,0.0,3324.629451500799,1058.2968108459015,0.0,485.6016308657626,0.0,54.74304349064099,0.0,0.0,0.0
Ovary-AdenoCA::S.71,351.7277730359943,657.8834631921635,1258.77284699148,408.9563700592805,0.0,40.38887900369569,0.0,0.0,373.4393452036661,6917.830422168404,0.0
Ovary-AdenoCA::S.72,359.8972077996558,385.82203319241177,4494.98687759787,2389.7612766576794,302.53047461306437,346.8023037209489,75.73647192788206,214.59387425326778,0.0,377.9231738716684,0.0
Ovary-AdenoCA::S.73,325.1494231608884,34.21988356617544,4433.450477795921,0.0,558.5415267754016,0.0,0.0,0.0,0.0,0.0,0.0
Ovary-AdenoCA::S.74,392.21938880995117,194.7255770125312,5567.00823417724,590.2538564517037,0.0,1043.0354308890462,0.0,182.08458129689157,0.0,2956.9727885930643,0.0
Ovary-AdenoCA::S.75,320.8551781806647,288.26611439131864,0.0,365.04783882177986,0.0,834.7553246340716,0.0,0.0,0.0,0.0,459.7842898987621
Ovary-AdenoCA::S.76,429.62367586346033,0.0,2347.6151560811168,1520.7682148135482,0.0,0.0,0.0,294.2984749763817,640.7132459601484,0.0,0.0
Ovary-AdenoCA::S.77,353.69927907595024,51.32525683510466,5441.512397138217,602.6810460598508,0.0,0.0,0.0,69.0655208917108,0.0,0.0,0.0
Ovary-AdenoCA::S.78,241.51238793904366,0.0,4940.688090356069,171.23007675642592,0.0,102.86515147098686,0.0,146.0017047492812,0.0,2662.5653847342596,100.6039860352465
Ovary-AdenoCA::S.79,147.54202090883587,255.13852466284402,3236.4282088687332,1635.4780335317714,218.94389325135424,357.3002932055049,104.3684974385856,129.47947168101985,280.29195133435235,0.0,94.83868927143135
Ovary-AdenoCA::S.80,136.79659163524357,0.0,5544.565385830066,656.1174174554548,0.0,0.0,0.0,0.0,654.845577471658,0.0,0.0
Ovary-AdenoCA::S.81,405.18362603269395,63.019281431024325,3034.248198779994,273.512357903663,57.73222253424626,27.227364785581862,0.0,0.0,0.0,0.0,70.06244363313697
Ovary-AdenoCA::S.82,445.289058133289,65.17319998400811,0.0,3022.907921431006,0.0,43.44993339483265,590.5412424847722,0.0,0.0,4390.0391242768055,0.0
